Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
50000,2,4.645159959793091,True,2,439,4
50000,2,3.698237180709839,True,2,432,4
50000,2,3.693871259689331,True,2,433,4
50000,3,6.356175184249878,True,3,749,5
50000,3,6.439616918563843,True,3,750,5
50000,3,6.2572619915008545,True,3,743,5
50000,3,6.599704027175903,True,3,767,5
50000,4,3.781205654144287,True,2,444,4
50000,4,8.77442455291748,True,4,1037,6
50000,4,9.11927318572998,True,4,1056,6
50000,5,11.675305128097534,True,5,1367,7
50000,5,6.396284580230713,True,3,744,5
50000,5,11.913884401321411,True,5,1382,7
50000,5,6.3808746337890625,True,3,745,5
50000,6,15.38923716545105,True,6,1697,8
50000,6,9.06490707397461,True,4,1059,6
50000,6,3.691477060317993,True,2,434,4
50000,7,17.288329362869263,True,7,1995,9
50000,7,6.453587055206299,True,3,750,5
50000,7,16.86895513534546,True,7,1964,9
50000,7,17.15329074859619,True,7,1998,9
50000,8,20.426040649414062,True,8,2350,10
50000,8,20.61713695526123,True,8,2367,10
50000,8,20.1452579498291,True,8,2354,10
50000,9,17.345606803894043,True,7,2001,9
50000,9,23.049049854278564,True,9,2667,11
50000,9,17.687732934951782,True,7,2053,9
50000,9,17.513659954071045,True,7,2019,9
50000,10,26.67843747138977,True,10,3074,12
50000,10,25.48703670501709,True,10,2955,12
50000,10,26.85147738456726,True,10,3080,12
50000,10,9.267473459243774,True,4,1075,6
50000,11,23.443848371505737,True,9,2711,11
50000,11,22.92754054069519,True,9,2644,11
50000,11,1244.1798923015594,True,95,146012,475
50000,12,20.030014276504517,True,8,2298,10
50000,12,25.346261739730835,True,10,2936,12
50000,12,25.829429626464844,True,10,2970,12
50000,12,26.713310718536377,True,10,3063,12
50000,13,5241.374707937241,True,199,614278,2003
50000,13,1091.0479319095612,True,63,128057,418
50000,13,4496.769878149033,True,169,527775,1736
50000,14,25.634873390197754,True,10,2952,12
50000,14,25.66803479194641,True,10,2952,12
50000,14,25.80353617668152,True,10,2971,12
50000,14,32.08014440536499,True,12,3675,14
50000,15,685.9846992492676,True,117,80484,272
50000,15,29.05750846862793,True,11,3347,13
50000,15,4580.276330947876,True,155,537301,1763
50000,16,20.537954568862915,True,8,2360,10
50000,16,32.45144581794739,True,12,3750,14
50000,16,2371.153149366379,True,162,278354,902
50000,16,115.41957449913025,True,22,13346,45
50000,17,17.088311195373535,True,7,1964,9
50000,17,3289.611114025116,True,141,385924,1261
50000,17,3431.0872144699097,True,183,402131,1307
50000,17,28.417125463485718,True,11,3282,13
50000,18,255.4420506954193,True,74,29920,97
50000,18,25.995237112045288,True,10,3000,12
50000,18,934.8740940093994,True,74,109697,358
50000,19,4086.7831795215607,True,73,479775,1570
50000,19,437.2218563556671,True,105,51035,165
50000,19,2377.7530241012573,True,151,279130,905
50000,19,4282.954310178757,True,117,503080,1653
50000,20,37.21513319015503,True,14,4315,16
50000,20,6555.405503749847,False,,741331,2501
50000,20,6777.024222373962,False,,767238,2501
50000,21,4548.979617834091,True,123,533767,1746
50000,21,1122.920350074768,True,99,131578,429
50000,21,29.60037350654602,True,11,3422,13
50000,21,34.1784451007843,True,13,3956,15
50000,22,2449.196084022522,True,214,287690,931
50000,22,3627.1444296836853,True,150,425963,1419
50000,22,3771.749981403351,True,158,442869,1449
50000,23,2772.4243524074554,True,169,325598,1056
50000,23,6392.822918653488,False,,750181,2501
50000,23,5740.781812429428,True,185,673958,2223
50000,23,1185.01331782341,True,123,139270,451
50000,24,2384.0393064022064,True,158,279843,913
50000,24,4218.648291826248,True,150,495818,1630
50000,24,4536.988633394241,True,158,533210,1741
50000,24,1399.2982950210571,True,140,164341,533
50000,25,3328.862801551819,True,183,390826,1265
50000,25,3602.203859806061,True,205,423178,1369
50000,25,2519.2636103630066,True,189,295659,957
50000,26,1000.6763129234314,True,100,117549,383
50000,26,987.4401297569275,True,178,115996,376
50000,26,6329.656911373138,False,,715892,2501
50000,26,1281.3166971206665,True,114,150230,487
50000,27,3361.569594860077,True,199,394535,1276
50000,27,3370.689508676529,True,79,395978,1290
50000,27,6519.988994598389,False,,765085,2501
50000,28,2042.6025605201721,True,168,239806,777
50000,28,1306.441038608551,True,160,153286,497
50000,28,6678.074456214905,False,,753430,2501
50000,28,6090.550179004669,True,180,714380,2351
50000,29,1485.4546411037445,True,127,174054,562
50000,29,5518.540555715561,True,97,647577,2120
50000,29,307.9190218448639,True,61,36018,118
50000,30,3139.934086084366,True,262,368237,1191
