,Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
13,700,142,4.1480467319488525,False,,19907,101
14,700,152,4.205681800842285,False,,20055,101
15,700,162,4.263028621673584,False,,20143,101
16,700,172,2.882549524307251,True,34,14397,72
17,700,182,4.264854192733765,False,,20400,101
18,700,192,1.1197309494018555,True,28,5751,32
19,700,202,4.708280086517334,False,,20045,101
0,800,12,0.13667607307434082,True,6,751,8
1,800,22,0.0279390811920166,True,2,65,4
2,800,32,0.39595985412597656,True,12,2214,14
3,800,42,0.37399911880493164,True,10,2012,13
4,800,52,0.893883228302002,True,22,4364,25
5,800,62,0.1456129550933838,True,6,694,8
6,800,72,0.8687520027160645,True,22,3985,25
7,800,82,4.503843545913696,False,,21050,101
8,800,92,0.804358720779419,True,22,4171,24
9,800,102,0.9916729927062988,True,20,5155,28
10,800,112,1.214522361755371,True,28,6292,34
11,800,122,4.135654449462891,False,,20383,101
12,800,132,4.079824686050415,False,,20148,101
13,800,142,1.4263689517974854,True,32,7190,38
14,800,152,4.322655200958252,False,,20632,101
15,800,162,4.130660533905029,False,,19741,101
16,800,172,4.105536937713623,False,,20512,101
17,800,182,4.277904272079468,False,,20334,101
18,800,192,4.096512794494629,False,,20344,101
19,800,202,4.242120742797852,False,,19765,101
0,900,12,0.062427520751953125,True,4,337,6
1,900,22,0.3854987621307373,True,12,2141,14
2,900,32,0.6776533126831055,True,16,3373,21
3,900,42,0.5420596599578857,True,10,2650,17
4,900,52,0.5909984111785889,True,16,3002,18
5,900,62,0.5982966423034668,True,16,2944,19
6,900,72,1.9632494449615479,True,26,9331,49
7,900,82,0.49968862533569336,True,14,2458,16
8,900,92,1.0460808277130127,True,26,5144,29
9,900,102,4.365583181381226,False,,20805,101
10,900,112,0.52986741065979,True,14,2939,17
11,900,122,0.8063845634460449,True,20,4049,24
12,900,132,2.1726531982421875,True,36,10896,56
13,900,142,3.993352174758911,True,36,19288,98
14,900,152,4.172040939331055,False,,20870,101
15,900,162,4.277086019515991,False,,21017,101
16,900,172,4.155265808105469,False,,20521,101
17,900,182,4.211996555328369,False,,20447,101
18,900,192,4.136389493942261,False,,20206,101
19,900,202,3.4485225677490234,True,38,16898,85
0,1000,12,0.2088756561279297,True,8,1229,10
1,1000,22,0.09474706649780273,True,4,442,6
2,1000,32,0.3031923770904541,True,10,1672,12
3,1000,42,1.3921115398406982,True,16,6964,37
4,1000,52,0.5036520957946777,True,14,2527,16
5,1000,62,1.2501306533813477,True,20,5877,32
6,1000,72,2.0809102058410645,True,24,9849,51
7,1000,82,0.44033312797546387,True,10,2217,15
8,1000,92,3.051621437072754,True,34,14401,71
9,1000,102,1.4793972969055176,True,18,7196,38
10,1000,112,4.325955629348755,False,,20560,101
11,1000,122,2.2731950283050537,True,36,10857,57
12,1000,132,2.7669620513916016,True,34,13839,70
13,1000,142,4.225449085235596,False,,19932,101
14,1000,152,1.3159356117248535,True,32,6830,36
15,1000,162,1.608438491821289,True,26,8144,43
16,1000,172,4.084398508071899,False,,20475,101
17,1000,182,4.12806248664856,False,,19875,101
18,1000,192,4.243658065795898,False,,19920,101
19,1000,202,4.263672113418579,False,,20630,101
0,2000,12,0.06981134414672852,True,4,341,6
1,2000,22,0.2572770118713379,True,10,1609,12
2,2000,32,0.16555547714233398,True,6,704,8
3,2000,42,0.47374653816223145,True,16,2743,18
4,2000,52,2.8703863620758057,True,28,14029,73
5,2000,62,2.437167167663574,True,28,12869,67
6,2000,72,3.7704873085021973,False,,18591,101
7,2000,82,1.0922653675079346,True,30,6482,35
8,2000,92,3.807337999343872,False,,19911,101
9,2000,102,3.943619728088379,False,,20728,101
10,2000,112,3.7774856090545654,False,,20348,101
11,2000,122,4.0291969776153564,False,,20007,101
12,2000,132,4.081150531768799,False,,19908,101
13,2000,142,1.6894571781158447,True,36,9423,49
14,2000,152,2.0944230556488037,True,36,11326,59
15,2000,162,3.7861201763153076,False,,20398,101
16,2000,172,1.446662187576294,True,30,7629,41
17,2000,182,3.8578975200653076,False,,20296,101
18,2000,192,5.63301944732666,False,,20461,101
19,2000,202,4.761243581771851,False,,20275,101
0,3000,12,0.1206512451171875,True,6,792,8
1,3000,22,0.4991288185119629,True,16,2854,18
2,3000,32,0.8787777423858643,True,16,4170,25
3,3000,42,0.09275174140930176,True,4,345,6
4,3000,52,0.4702565670013428,True,10,2180,15
5,3000,62,1.7312700748443604,True,28,8823,46
6,3000,72,2.118415594100952,True,36,11437,58
7,3000,82,1.520934820175171,True,18,7998,41
8,3000,92,1.0348224639892578,True,30,5898,32
9,3000,102,3.733997106552124,False,,20163,101
10,3000,112,1.1455078125,True,20,6244,34
11,3000,122,2.1524460315704346,True,36,11470,59
12,3000,132,1.962106704711914,True,30,10956,54
13,3000,142,2.1393544673919678,True,38,11333,58
14,3000,152,3.744521379470825,True,42,19525,97
15,3000,162,3.8233513832092285,False,,20030,101
16,3000,172,3.971416711807251,False,,20519,101
17,3000,182,3.871058702468872,False,,20675,101
18,3000,192,3.710749626159668,False,,20474,101
19,3000,202,3.925882577896118,False,,20705,101
