Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
600,2,0.09798049926757812,True,2,925,4
600,2,0.08506655693054199,True,2,925,4
600,2,0.13037395477294922,True,2,925,4
600,2,0.0848686695098877,True,2,925,4
600,2,0.08475875854492188,True,2,925,4
600,2,0.08297991752624512,True,2,925,4
600,2,0.08453178405761719,True,2,925,4
600,3,0.16279172897338867,True,3,1693,5
600,3,0.16088247299194336,True,3,1693,5
600,3,0.1636979579925537,True,3,1693,5
600,3,0.16180086135864258,True,3,1693,5
600,3,0.16109728813171387,True,3,1693,5
600,3,0.1583242416381836,True,3,1693,5
600,3,0.1656954288482666,True,3,1693,5
600,4,0.08443498611450195,True,2,925,4
600,4,0.09021592140197754,True,2,925,4
600,4,0.243363618850708,True,4,2461,6
600,4,0.08411788940429688,True,2,925,4
600,4,0.23836421966552734,True,4,2461,6
600,4,0.2728409767150879,True,4,2461,6
600,4,0.08561944961547852,True,2,925,4
600,5,0.16234159469604492,True,3,1693,5
600,5,0.31108665466308594,True,5,3229,7
600,5,0.319408655166626,True,5,3229,7
600,5,0.16894030570983887,True,3,1693,5
600,5,0.31696534156799316,True,5,3229,7
600,5,0.1636500358581543,True,3,1693,5
600,5,0.30469298362731934,True,5,3229,7
600,6,0.44081544876098633,True,6,3997,8
600,6,0.24944019317626953,True,4,2461,6
600,6,0.2362372875213623,True,4,2461,6
600,6,0.38425374031066895,True,6,3997,8
600,6,0.24018549919128418,True,4,2461,6
600,6,0.4044027328491211,True,6,3997,8
600,6,0.24495267868041992,True,4,2461,6
600,7,0.35382699966430664,True,5,3229,7
600,7,0.31630659103393555,True,5,3229,7
600,7,0.4863102436065674,True,7,4765,9
600,7,0.47080469131469727,True,7,4765,9
600,7,0.31902337074279785,True,5,3229,7
600,7,0.5064334869384766,True,7,4765,9
600,7,0.3100557327270508,True,5,3229,7
600,8,0.5355017185211182,True,8,5533,10
600,8,0.397479772567749,True,6,3997,8
600,8,0.23835229873657227,True,4,2461,6
600,8,0.2366957664489746,True,4,2461,6
600,8,0.4248931407928467,True,6,3997,8
600,8,0.3896303176879883,True,6,3997,8
600,8,0.5470240116119385,True,8,5533,10
600,9,0.5937299728393555,True,9,6301,11
600,9,0.32036519050598145,True,5,3229,7
600,9,0.4919440746307373,True,7,4765,9
600,9,0.31574440002441406,True,5,3229,7
600,9,0.3172132968902588,True,5,3229,7
600,9,0.3178238868713379,True,5,3229,7
600,9,0.6617598533630371,True,9,7069,12
600,9,0.3481578826904297,True,5,3229,7
600,10,0.3787822723388672,True,6,3997,8
600,10,0.5281109809875488,True,8,5533,10
600,10,0.5398209095001221,True,8,5533,10
600,10,0.2313535213470459,True,4,2461,6
600,10,0.5537633895874023,True,8,5533,10
600,10,0.5249276161193848,True,8,5533,10
600,10,0.39145541191101074,True,6,3997,8
600,11,0.3172872066497803,True,5,3229,7
600,11,0.33393335342407227,True,5,3229,7
600,11,0.6006298065185547,True,9,6301,11
600,11,0.5940494537353516,True,9,6301,11
600,11,0.48017263412475586,True,7,4765,9
600,11,0.5169086456298828,True,7,4765,9
600,11,0.47418999671936035,True,7,4765,9
600,12,0.52164626121521,True,8,5533,10
600,12,0.3964202404022217,True,6,3997,8
600,12,0.3831799030303955,True,6,3997,8
600,12,0.6099929809570312,True,8,6301,11
