Epoch,Scramble Depth,Time,isSolved,Move Count,Nodes Generated,Search Iterations
100,3,0.41472601890563965,True,3,135,5
100,5,0.005048036575317383,True,1,13,3
100,7,0.017119884490966797,True,3,135,5
100,9,0.06645607948303223,True,5,685,7
100,11,0.04733085632324219,True,5,479,7
100,13,0.09451603889465332,True,7,995,9
100,15,0.005034685134887695,True,1,13,3
100,17,0.1299891471862793,True,9,1376,11
100,19,0.022538185119628906,True,3,215,5
100,21,0.12361288070678711,True,7,909,9
100,23,18.296125888824463,False,,165916,801
100,25,0.34867167472839355,True,13,3550,21
100,27,0.2485654354095459,True,11,2662,17
100,29,18.195374011993408,False,,160948,801
100,31,0.6381022930145264,True,13,6972,37
100,33,18.141294479370117,False,,164470,801
100,35,18.708716869354248,False,,164236,801
100,37,0.13486719131469727,True,9,1501,11
100,39,18.138942003250122,False,,165590,801
100,41,18.621417760849,False,,170048,801
100,43,18.33462142944336,False,,163383,801
100,45,18.29411768913269,False,,163574,801
100,47,18.493996620178223,False,,165990,801
100,49,18.58795928955078,False,,166843,801
100,51,0.4081428050994873,True,11,4080,24
100,53,0.17184901237487793,True,11,1798,13
100,55,18.490561723709106,False,,169380,801
100,57,18.38298487663269,False,,166723,801
100,59,12.910331010818481,True,15,116926,550
100,61,18.629862308502197,False,,166422,801
100,63,18.70919704437256,False,,165046,801
100,65,18.85474157333374,False,,166794,801
100,67,18.69779872894287,False,,165077,801
100,69,18.994691848754883,False,,169300,801
100,71,18.729875802993774,False,,165595,801
100,73,18.528802633285522,False,,165149,801
100,75,19.07829189300537,False,,164692,801
100,77,19.31181502342224,False,,166982,801
100,79,18.751773834228516,False,,164278,801
300,3,0.007135629653930664,True,1,13,3
300,5,0.07422399520874023,True,5,683,7
300,7,0.04935789108276367,True,5,478,7
300,9,0.057257890701293945,True,5,577,7
300,11,0.023241281509399414,True,3,215,5
300,13,0.05617713928222656,True,5,567,7
300,15,0.09463143348693848,True,7,935,9
300,17,0.10364174842834473,True,5,671,7
300,19,0.0936739444732666,True,7,911,9
300,21,0.16015410423278809,True,9,1535,11
300,23,0.10258674621582031,True,7,968,9
300,25,0.06397581100463867,True,5,671,7
300,27,0.05726456642150879,True,5,576,7
300,29,0.09952378273010254,True,7,963,9
300,31,0.293487548828125,True,15,2640,17
300,33,0.1133723258972168,True,7,1125,9
300,35,0.11484026908874512,True,7,1125,9
300,37,0.39466190338134766,True,19,3599,21
300,39,0.2399439811706543,True,13,2192,15
300,41,0.0936574935913086,True,7,935,9
300,43,0.7742316722869873,True,19,6877,36
300,45,0.336223840713501,True,17,3109,19
300,47,0.31897878646850586,True,17,3254,19
300,49,0.10112595558166504,True,7,974,9
300,51,1.3556022644042969,True,23,12343,62
300,53,3.2154877185821533,True,17,29348,140
300,55,18.122902154922485,True,21,153285,672
300,57,0.23390531539916992,True,13,2186,15
300,59,3.419260025024414,True,21,31702,149
300,61,19.849074125289917,False,,161415,801
300,63,0.4838688373565674,True,17,4575,26
300,65,0.3089888095855713,True,17,2716,19
300,67,0.42379307746887207,True,21,3834,23
300,69,19.036951541900635,False,,166418,801
300,71,0.19202828407287598,True,11,1849,13
300,73,18.94071888923645,False,,166312,801
300,75,0.3252561092376709,True,17,3048,19
300,77,20.357966661453247,False,,165479,801
300,79,1.1963863372802734,True,17,11333,58
300,81,14.599255800247192,True,23,114721,556
300,83,18.847697257995605,False,,164228,801
300,85,0.4072432518005371,True,21,3879,23
300,87,20.72998332977295,False,,172319,801
300,89,19.227811813354492,False,,166555,801
300,91,19.284336805343628,False,,164798,801
300,93,19.395740509033203,False,,168202,801
300,95,19.733609914779663,False,,157585,801
300,97,19.49772310256958,True,21,153092,750
300,99,18.974910736083984,False,,162456,801
300,101,0.19517731666564941,True,11,1812,13
300,103,20.690337657928467,False,,160741,801
300,105,19.89381718635559,False,,168126,801
300,107,20.273797512054443,False,,167427,801
300,109,19.504626035690308,False,,162798,801
300,111,19.59022569656372,False,,166611,801
300,113,18.91755509376526,False,,162125,801
300,115,19.599257230758667,False,,167625,801
300,117,20.41586709022522,False,,164858,801
300,119,21.261544942855835,False,,180483,801
300,121,19.76084876060486,False,,167901,801
200,3,0.029267072677612305,True,3,215,5
200,5,0.005095243453979492,True,1,13,3
200,7,0.022988319396972656,True,3,215,5
200,9,0.0519251823425293,True,5,489,7
200,11,0.05523347854614258,True,5,550,7
200,13,0.09599804878234863,True,7,904,9
200,15,0.022955656051635742,True,3,215,5
200,17,0.10307860374450684,True,7,1060,9
200,19,0.2263336181640625,True,11,1808,13
200,21,0.09357476234436035,True,7,945,9
200,23,0.054308414459228516,True,5,523,7
200,25,0.17804336547851562,True,11,1667,13
200,27,0.6021344661712646,True,17,5905,32
200,29,0.14217734336853027,True,9,1383,11
200,31,0.23250198364257812,True,13,2290,15
200,33,0.2886195182800293,True,15,2885,19
200,35,0.2831764221191406,True,17,2956,19
200,37,0.4351992607116699,True,15,4070,24
200,39,9.314469814300537,True,21,83891,412
200,41,19.290441036224365,False,,162150,801
200,43,0.18934178352355957,True,11,1825,13
200,45,1.3997719287872314,True,19,13200,69
200,47,19.8389573097229,False,,170701,801
200,49,0.9335348606109619,True,19,9595,51
200,51,0.25937819480895996,True,15,2772,17
200,53,0.2964344024658203,True,17,2811,19
200,55,15.33566927909851,True,19,138304,654
200,57,18.70680832862854,False,,165403,801
200,59,0.05805158615112305,True,5,590,7
200,61,18.93099069595337,False,,159593,801
200,63,0.3344419002532959,True,17,3289,20
200,65,19.09187889099121,False,,165065,801
200,67,0.2605874538421631,True,15,2715,17
200,69,18.920382738113403,False,,164007,801
200,71,0.39305853843688965,True,17,3906,23
200,73,18.6762375831604,False,,164569,801
200,75,7.1994500160217285,True,19,67322,320
200,77,18.521626234054565,False,,162385,801
200,79,0.267380952835083,True,15,2544,17
200,81,18.826894283294678,False,,165671,801
200,83,18.453253507614136,False,,165578,801
200,85,0.6297104358673096,True,17,6190,32
200,87,20.017337322235107,False,,162132,801
200,89,18.895759344100952,False,,163488,801
200,91,0.4861326217651367,True,15,4754,27
200,93,18.85716724395752,False,,165137,801
200,95,19.305625915527344,False,,167357,801
200,97,15.624447584152222,True,21,136888,662
200,99,18.908628940582275,False,,165642,801
200,101,18.619181871414185,False,,164346,801
200,103,1.5612857341766357,True,19,15585,78
200,105,19.40134882926941,False,,158800,801
200,107,18.954352855682373,False,,165452,801
200,109,18.837504863739014,False,,165590,801
200,111,18.65395188331604,False,,164616,801
200,113,18.999046564102173,False,,166972,801
200,115,19.069854974746704,False,,166909,801
200,117,18.859500646591187,False,,163247,801
200,119,3.1537749767303467,True,19,31025,154
200,121,18.715373992919922,False,,166935,801
200,123,18.912164449691772,False,,164783,801
200,125,19.63422679901123,False,,163219,801
200,127,19.12423348426819,False,,166018,801
200,129,19.01512098312378,False,,165840,801
200,131,19.36019492149353,False,,168465,801
200,133,18.957961559295654,False,,167361,801
200,135,19.155816316604614,False,,167987,801
200,137,18.821364164352417,False,,165512,801
200,139,18.823602437973022,False,,164249,801
400,3,0.028111934661865234,True,3,215,5
400,5,0.057370901107788086,True,5,524,7
400,7,0.023506879806518555,True,3,215,5
400,9,0.005079507827758789,True,1,13,3
400,11,0.057776451110839844,True,5,569,7
400,13,0.058827877044677734,True,5,572,7
400,15,0.24078655242919922,True,11,1803,13
400,17,0.023509502410888672,True,3,215,5
400,19,0.20339608192443848,True,11,1983,13
400,21,0.10165214538574219,True,7,976,9
400,23,0.23445510864257812,True,13,2070,15
400,25,0.19356799125671387,True,11,1781,13
400,27,0.1425647735595703,True,9,1372,11
400,29,0.35062098503112793,True,17,3089,19
400,31,0.24392318725585938,True,13,2186,15
400,33,0.10271716117858887,True,7,977,9
400,35,0.11021208763122559,True,7,1070,9
400,37,0.20259881019592285,True,11,1983,13
